city,id,adType,propertyType,accountType,surfaceArea,roomsQuantity,bedroomsQuantity,heating,hasCellar,toiletQuantity,floorQuantity,hasElevator,floor,energyClassification,greenhouseGazClassification,isInCondominium,agencyFeePercentage,newOrOld,price,pricePerSquareMeter,priceHasDecreased,district.libelle,district.id,workToDo,bathroomsQuantity,hasGarden,annualCondominiumFees,isDuplex,hasAlarm,terracesQuantity,hasPool,balconyQuantity,firePlacesQuantity,surfaceArea_bins,price_bins
Paris 11e,ag751938-362888890,buy,flat,network,39.0,2,1.0,gaz collectif,True,1.0,7.0,True,5.0,F,F,True,5.0,old,430000,11025.641025641025,False,Léon-Blum - Folie-Regnault,100513,None,1.0,False,1860.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 10e,ag751938-362909398,buy,flat,network,136.0,5,3.0,électricité individuel,True,1.0,6.0,True,1.0,E,C,True,5.0,old,1250000,9191.176470588236,False,Saint-Vincent de Paul - Lariboisière,100522,None,1.0,False,3600.0,False,False,0.0,False,0.0,1.0,extralarge,veryExpensive
Paris 7e,ag755505-362885962,buy,flat,agency,21.0,2,1.0,None,False,1.0,6.0,True,1.0,E,B,True,5.29,old,285000,12890.0,False,Champ de Mars,100535,None,1.0,False,1644.0,False,False,0.0,False,0.0,0.0,extratiny,cheap
Paris 13e,century-21-202_2257_8310,buy,flat,agency,90.45,4,2.0,Individuel Radiateur Gaz,False,1.0,6.0,False,3.0,C,C,False,3.16,old,980000,10503.040353786622,False,Bibliothèque - Dunois - Jeanne d'Arc,110469,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,large,expensive
Paris 20e,ics-lba_CITYALBA_tra-TAPP85808,buy,flat,network,105.0,5,4.0,Au sol Electrique Collectif ,False,1.0,8.0,True,5.0,D,B,True,5.0,None,990000,9428.57142857143,False,Saint-Blaise,100444,None,1.0,False,5820.0,False,False,0.0,False,1.0,0.0,large,expensive
Paris 14e,ag301615-362849571,buy,flat,mandatary,64.0,4,2.0,Pompe à chaleur individuel,True,1.0,6.0,True,0.0,G,G,True,5.0,old,669000,10453.125,False,Pernety,100495,None,1.0,False,1904.00000000004,False,False,0.0,False,0.0,0.0,middle,expensive
Paris 17e,iad-france-1208445,buy,flat,mandatary,217.0,4,3.0,radiateur électrique individuel ,True,1.0,6.0,False,0.0,D,C,True,5.0,None,4090000,18847.926267281106,False,Ternes - Maillot,100474,None,1.0,False,15000.0,False,False,0.0,False,0.0,0.0,extralarge,veryExpensive
Paris 10e,ag750129-362866999,buy,flat,network,107.0,5,3.0,électricité ,False,1.0,2.0,False,1.0,E,B,True,5.0,old,1080000,10093.457943925234,False,Canal Saint-Martin - Jemmapes,100520,None,1.0,False,2244.0,False,False,1.0,False,0.0,0.0,large,veryExpensive
Paris 11e,ag751938-362838709,buy,flat,network,12.0,1,1.0,électricité individuel,True,1.0,7.0,True,7.0,F,B,True,5.0,old,130000,10833.333333333334,False,Léon-Blum - Folie-Regnault,100513,None,1.0,False,708.0,False,False,0.0,False,0.0,0.0,extratiny,cheap
Paris 11e,ag751938-362864410,buy,flat,network,30.0,2,1.0,électricité individuel,False,1.0,6.0,True,4.0,VI,D,True,5.0,old,379000,12633.333333333334,False,Belleville - Saint-Maur,100515,None,1.0,False,1200.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 19e,ag751938-362864887,buy,flat,network,65.0,3,2.0,électricité individuel,False,1.0,4.0,True,3.0,D,A,True,5.0,old,520000,8000.0,False,Porte de la Villette,100458,None,1.0,False,1584.0,False,False,1.0,False,1.0,0.0,middle,not-expensive
Paris 18e,ag751938-362843932,buy,flat,network,85.0,4,3.0,électricité individuel,False,1.0,5.0,True,4.0,E,E,True,5.0,old,925000,10882.35294117647,False,Barbès - Château Rouge,100463,None,1.0,False,3000.0,True,False,0.0,False,0.0,0.0,large,expensive
Paris 13e,ag755694-362860435,buy,flat,agency,23.0,2,1.0,électricité individuel,True,1.0,4.0,False,3.0,G,C,False,3.72,old,223000,9347.826086956522,False,Salpétrière - Austerlitz,110472,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,tiny,cheap
Paris 13e,ag755694-362860444,buy,flat,agency,47.0,2,1.0,électricité individuel,False,1.0,7.0,True,4.0,E,B,False,4.0,old,514800,10531.91489361702,False,Butte-aux-Cailles,300695,None,1.0,False,0.0,False,False,0.0,False,1.0,0.0,tiny,not-expensive
